powiat,rok,wartość
powiat dąbrowski,2018,232571930.76
powiat dąbrowski,2019,256442011.71
powiat tarnowski,2011,570706633.6
powiat tarnowski,2012,578428183.25
powiat tarnowski,2013,553567013.84
powiat tarnowski,2014,565567676.92
powiat tarnowski,2015,604311545.33
powiat tarnowski,2016,701354099.95
powiat tarnowski,2017,757063472.92
powiat tarnowski,2018,835827643.99
powiat tarnowski,2019,939141272.28
powiat Tarnów,2011,485444595.25
powiat Tarnów,2012,526795969.65
powiat Tarnów,2013,535156220.95
powiat Tarnów,2014,539267294.88
powiat Tarnów,2015,587488381.66
powiat Tarnów,2016,617144319.94
powiat Tarnów,2017,672767102.22
powiat Tarnów,2018,680624207.93
powiat Tarnów,2019,799629932.6
powiat nowotarski,2011,539029738.97
powiat nowotarski,2012,553800742.52
powiat nowotarski,2013,583918006.66
powiat nowotarski,2014,619231191.31
powiat nowotarski,2015,630461424.09
powiat nowotarski,2016,742618448.26
powiat nowotarski,2017,798323532.2
powiat nowotarski,2018,861880929.98
powiat nowotarski,2019,984972615.09
powiat suski,2011,226659392.73
powiat suski,2012,230474209.83
powiat suski,2013,236394415.64
powiat suski,2014,257701024.43
powiat suski,2015,267870811.06
powiat suski,2016,320685896.94
powiat suski,2017,354223426.04
powiat suski,2018,384885277.11
powiat suski,2019,412178498.71
powiat tatrzański,2011,200010808.53
powiat tatrzański,2012,205033099.42
powiat tatrzański,2013,213051150.49
powiat tatrzański,2014,229580498.58
powiat tatrzański,2015,260696205.99
powiat tatrzański,2016,294961125.78
powiat tatrzański,2017,330750743.69
powiat tatrzański,2018,341042998.21
powiat tatrzański,2019,385180316.88
"powiat bielski, śląskie",2011,462952473.45
"powiat bielski, śląskie",2012,458070868.76
"powiat bielski, śląskie",2013,458361244.36
"powiat bielski, śląskie",2014,485272996.97
"powiat bielski, śląskie",2015,521042414.65
"powiat bielski, śląskie",2016,621715563.7
"powiat bielski, śląskie",2017,671343145.18
"powiat bielski, śląskie",2018,739004552.73
"powiat bielski, śląskie",2019,858549619.05
powiat cieszyński,2011,527108476.4
powiat cieszyński,2012,536552656.76
powiat cieszyński,2013,543955521.16
powiat cieszyński,2014,575091847.32
powiat cieszyński,2015,599653135.69
powiat cieszyński,2016,697808396.31
powiat cieszyński,2017,748987555.47
powiat cieszyński,2018,821307141.26
powiat cieszyński,2019,928044949.29
powiat żywiecki,2011,457228778.14
powiat żywiecki,2012,456279735.39
powiat żywiecki,2013,462919747.12
powiat żywiecki,2014,492528118.25
powiat żywiecki,2015,493529467.58
powiat żywiecki,2016,576146872.6
powiat żywiecki,2017,630568145.41
powiat żywiecki,2018,678964380.57
powiat żywiecki,2019,749746890.33
powiat Bielsko-Biała,2011,703384990.37
powiat Bielsko-Biała,2012,721348589.51
powiat Bielsko-Biała,2013,746870726.11
powiat Bielsko-Biała,2014,803658959.48
powiat Bielsko-Biała,2015,812267909.07
powiat Bielsko-Biała,2016,914529528.88
powiat Bielsko-Biała,2017,1019825030.08
powiat Bielsko-Biała,2018,1069387434.14
powiat Bielsko-Biała,2019,1235053794.3
powiat lubliniecki,2011,221335279.36
powiat lubliniecki,2012,236165520.87
powiat lubliniecki,2013,229479266.06
powiat lubliniecki,2014,245127317.27
powiat lubliniecki,2015,268979068.16
powiat lubliniecki,2016,298384486.14
powiat lubliniecki,2017,305010667.93
powiat lubliniecki,2018,349783085.14
powiat lubliniecki,2019,420396248.95
powiat tarnogórski,2011,386866585.2
powiat tarnogórski,2012,383936177.85
powiat tarnogórski,2013,440068048.77
powiat tarnogórski,2014,488834677.29
powiat tarnogórski,2015,493127557.4
powiat tarnogórski,2016,542175058.07
powiat tarnogórski,2017,587069361.84
powiat tarnogórski,2018,635177084.79
powiat tarnogórski,2019,733940885.6
powiat Bytom,2011,681797829.29
powiat Bytom,2012,686303696.29
powiat Bytom,2013,678229937.26
powiat Bytom,2014,696522581.98
powiat Bytom,2015,678047049.37
powiat Bytom,2016,745196881.66
powiat Bytom,2017,806509113.57
powiat Bytom,2018,891584914.58
powiat Bytom,2019,942619949.93
powiat Piekary Śląskie,2011,162718169.18
powiat Piekary Śląskie,2012,171634268.1
powiat Piekary Śląskie,2013,177209708.92
powiat Piekary Śląskie,2014,200101309.2
powiat Piekary Śląskie,2015,198997128.04
powiat Piekary Śląskie,2016,243577943.8
powiat Piekary Śląskie,2017,252977895.69
powiat Piekary Śląskie,2018,280380379.04
powiat Piekary Śląskie,2019,321976592.16
powiat częstochowski,2011,391053261.19
powiat częstochowski,2012,403910657.0
powiat częstochowski,2013,402402893.92
powiat częstochowski,2014,409836523.74
powiat częstochowski,2015,431468282.77
powiat częstochowski,2016,476939487.83
powiat częstochowski,2017,523543302.82
powiat częstochowski,2018,596030191.76
powiat częstochowski,2019,651678901.66
powiat kłobucki,2011,241292410.57
powiat kłobucki,2012,233770494.53
powiat kłobucki,2013,228074523.82
powiat kłobucki,2014,237370594.05
powiat kłobucki,2015,266072521.91
powiat kłobucki,2016,315818537.38
powiat kłobucki,2017,333495676.94
powiat kłobucki,2018,376335387.18
powiat kłobucki,2019,405573671.3
powiat myszkowski,2011,187777320.17
powiat myszkowski,2012,198543246.96
powiat myszkowski,2013,207258000.08
powiat myszkowski,2014,224173945.46
powiat myszkowski,2015,245465657.73
powiat myszkowski,2016,262926304.93
powiat myszkowski,2017,286624307.75
powiat myszkowski,2018,321552139.77
powiat myszkowski,2019,345316641.49
powiat Częstochowa,2011,920668314.98
powiat Częstochowa,2012,910991197.18
powiat Częstochowa,2013,974800241.89
powiat Częstochowa,2014,1054651405.3
powiat Częstochowa,2015,1109145599.84
powiat Częstochowa,2016,1144733103.51
powiat Częstochowa,2017,1199870488.12
powiat Częstochowa,2018,1264045836.18
powiat Częstochowa,2019,1385843043.55
powiat gliwicki,2011,316910066.71
powiat gliwicki,2012,313105376.91
powiat gliwicki,2013,324089650.95
powiat gliwicki,2014,402558491.68
powiat gliwicki,2015,372622216.58
powiat gliwicki,2016,435316406.3
powiat gliwicki,2017,477070322.82
powiat gliwicki,2018,554108579.37
powiat gliwicki,2019,613398254.22
powiat Gliwice,2011,796155355.32
powiat Gliwice,2012,870581082.28
powiat Gliwice,2013,1049140087.86
powiat Gliwice,2014,1313075832.3
powiat Gliwice,2015,1415463172.87
powiat Gliwice,2016,1055986096.72
powiat Gliwice,2017,1142513573.93
powiat Gliwice,2018,1212988376.76
powiat Gliwice,2019,1304434711.67
powiat Zabrze,2011,634098186.64
powiat Zabrze,2012,769464055.47
powiat Zabrze,2013,789181152.78
powiat Zabrze,2014,822203181.54
powiat Zabrze,2015,780170548.57
powiat Zabrze,2016,807379682.63
powiat Zabrze,2017,812940832.66
powiat Zabrze,2018,871596094.18
powiat Zabrze,2019,993506517.45
powiat Chorzów,2011,402433261.86
powiat Chorzów,2012,437129130.8
powiat Chorzów,2013,463189856.72
powiat Chorzów,2014,484650035.93
powiat Chorzów,2015,496231309.38
powiat Chorzów,2016,548143039.3
powiat Chorzów,2017,587339058.79
powiat Chorzów,2018,663721620.7
powiat Chorzów,2019,704885259.18
powiat Katowice,2011,1360441367.48
powiat Katowice,2012,1391933435.98
powiat Katowice,2013,1565124084.01
powiat Katowice,2014,1615551147.47
powiat Katowice,2015,1659394025.37
powiat Katowice,2016,1752728672.22
powiat Katowice,2017,1822404247.4
powiat Katowice,2018,1958524153.88
powiat Katowice,2019,2183851040.71
powiat Mysłowice,2011,231487520.98
powiat Mysłowice,2012,274511287.1
powiat Mysłowice,2013,267480511.14
powiat Mysłowice,2014,284561710.79
powiat Mysłowice,2015,305714832.77
powiat Mysłowice,2016,340782295.26
powiat Mysłowice,2017,348358897.52
powiat Mysłowice,2018,362686554.27
powiat Mysłowice,2019,429302483.65
powiat Ruda Śląska,2011,507765746.37
powiat Ruda Śląska,2012,544430212.48
powiat Ruda Śląska,2013,526865807.1
powiat Ruda Śląska,2014,582339442.97
powiat Ruda Śląska,2015,583086684.54
powiat Ruda Śląska,2016,687566312.62
powiat Ruda Śląska,2017,700973800.76
powiat Ruda Śląska,2018,770390352.25
powiat Ruda Śląska,2019,835733928.36
powiat Siemianowice Śląskie,2011,225069229.68
powiat Siemianowice Śląskie,2012,229530530.49
powiat Siemianowice Śląskie,2013,243120338.64
powiat Siemianowice Śląskie,2014,256991676.92
powiat Siemianowice Śląskie,2015,250259081.09
powiat Siemianowice Śląskie,2016,297485847.33
powiat Siemianowice Śląskie,2017,333969047.14
powiat Siemianowice Śląskie,2018,354815166.91
powiat Siemianowice Śląskie,2019,377982197.83
powiat Świętochłowice,2011,150620109.74
powiat Świętochłowice,2012,162361778.0
powiat Świętochłowice,2013,171964494.77
powiat Świętochłowice,2014,189921871.86
powiat Świętochłowice,2015,181240660.74
powiat Świętochłowice,2016,216744559.14
powiat Świętochłowice,2017,220427778.26
powiat Świętochłowice,2018,243402181.86
powiat Świętochłowice,2019,256425546.82
powiat raciborski,2011,282739032.49
powiat raciborski,2012,300209561.32
powiat raciborski,2013,307489935.17
powiat raciborski,2014,327651478.9
powiat raciborski,2015,330786489.9
powiat raciborski,2016,371394555.23
powiat raciborski,2017,393186676.38
powiat raciborski,2018,420149793.02
powiat raciborski,2019,478071151.88
powiat rybnicki,2011,187976997.54
powiat rybnicki,2012,201666548.13
powiat rybnicki,2013,206324431.67
powiat rybnicki,2014,227082016.34
powiat rybnicki,2015,229280644.99
powiat rybnicki,2016,278578228.48
powiat rybnicki,2017,293894158.92
powiat rybnicki,2018,323028133.72
powiat rybnicki,2019,358523527.49
powiat wodzisławski,2011,412819584.6
powiat wodzisławski,2012,419765785.67
powiat wodzisławski,2013,433004546.72
powiat wodzisławski,2014,467586996.78
powiat wodzisławski,2015,458674227.77
powiat wodzisławski,2016,580685377.29
powiat wodzisławski,2017,615262656.8
powiat wodzisławski,2018,655589466.86
powiat wodzisławski,2019,758626315.45
powiat Jastrzębie-Zdrój,2011,370590936.42
powiat Jastrzębie-Zdrój,2012,359287065.69
powiat Jastrzębie-Zdrój,2013,394190909.6
powiat Jastrzębie-Zdrój,2014,332911055.67
powiat Jastrzębie-Zdrój,2015,377844808.73
powiat Jastrzębie-Zdrój,2016,440774504.63
powiat Jastrzębie-Zdrój,2017,431102908.35
powiat Jastrzębie-Zdrój,2018,452405275.01
powiat Jastrzębie-Zdrój,2019,513339235.38
powiat Rybnik,2011,633596816.33
powiat Rybnik,2012,631983117.0
powiat Rybnik,2013,623233689.62
powiat Rybnik,2014,669198864.79
powiat Rybnik,2015,689797330.58
powiat Rybnik,2016,729179648.4
powiat Rybnik,2017,751308791.22
