województwo,rok,kapusta za 1 kg,cebula za 1 kg,marchew za 1 kg,buraki za 1 kg,ogórki za 1 kg,pomidory za 1 kg,kalafiory za 1 szt,inne warzywa za 1 kg,jabłka za 1 kg,gruszki za 1 kg,śliwki za 1 kg,brzoskwinie za 1 kg,wiśnie za 1 kg,czereśnie za 1 kg,truskawki za 1 kg,maliny za 1 kg,porzeczki za 1 kg,agrest za 1 kg,orzechy włoskie i laskowe za 1 kg,inne owoce za 1 kg
WIELKOPOLSKIE,2016,0.81,0.93,0.44,0.52,1.29,1.27,1.53,1.13,0.6,3.47,2.02,3.82,1.54,6.03,3.57,5.73,1.68,1.76,18.04,3.6
WIELKOPOLSKIE,2017,0.65,0.74,0.38,0.41,1.64,1.45,1.62,1.35,1.45,3.63,2.2,2.33,4.09,14.07,5.67,9.03,2.5,2.5,10.66,3.59
WIELKOPOLSKIE,2018,0.68,1.18,0.68,0.38,1.61,2.09,1.46,1.69,1.21,3.3,1.22,0.47,1.29,6.95,5.71,10.73,1.43,2.7,8.44,10.89
WIELKOPOLSKIE,2019,1.37,1.65,0.58,0.45,2.08,2.34,1.6,1.63,1.35,2.68,1.69,1.69,2.93,11.98,6.35,18.06,2.59,2.03,10.31,8.87
WIELKOPOLSKIE,2020,0.75,1.03,0.42,0.54,2.27,2.42,2.23,2.36,2.42,3.3,2.69,3.5,2.11,13.43,9.37,19.47,2.65,4.9,16.36,9.5
ZACHODNIOPOMORSKIE,2012,0.62,0.43,0.99,0.77,2.68,2.43,1.71,1.88,0.59,0.79,1.16,3.61,3.21,6.34,4.76,3.33,1.59,3.48,11.4,6.81
ZACHODNIOPOMORSKIE,2013,0.69,0.67,0.5,0.77,2.86,3.31,2.03,1.31,0.88,1.62,1.24,0.0,2.44,3.48,3.34,5.7,1.82,3.36,0.0,1.0
ZACHODNIOPOMORSKIE,2014,0.66,0.65,0.56,0.87,2.05,3.06,1.53,1.51,1.37,3.09,1.0,0.0,1.93,0.0,3.12,5.64,1.21,3.45,8.78,0.64
ZACHODNIOPOMORSKIE,2015,1.6,0.58,1.06,0.55,3.37,4.19,2.19,1.8,1.8,3.13,2.0,0.0,1.28,5.9,2.9,8.49,1.27,2.37,10.31,3.39
ZACHODNIOPOMORSKIE,2016,0.82,0.49,0.58,0.71,2.06,1.9,2.08,2.2,1.39,1.84,1.27,1.59,1.33,5.69,4.26,6.37,1.71,1.06,0.0,1.91
ZACHODNIOPOMORSKIE,2017,1.0,0.36,0.56,0.58,2.64,3.04,2.05,2.19,1.37,2.79,3.2,0.0,2.79,3.93,4.51,5.34,1.68,2.19,5.98,5.05
ZACHODNIOPOMORSKIE,2018,1.22,0.85,1.22,0.8,2.62,2.1,2.48,1.86,1.74,3.03,1.8,0.0,1.1,6.66,5.04,5.22,0.76,1.32,0.0,3.33
ZACHODNIOPOMORSKIE,2019,1.98,2.22,0.94,1.06,2.65,2.24,2.74,2.24,1.89,2.48,2.36,0.0,3.12,9.31,4.93,8.54,1.36,1.99,0.0,4.87
ZACHODNIOPOMORSKIE,2020,0.73,0.68,0.89,0.82,4.05,2.92,1.35,3.06,1.7,2.29,1.94,0.0,1.79,14.65,4.34,8.26,2.28,1.12,0.0,4.19
DOLNOŚLĄSKIE,2012,0.82,0.46,0.4,0.61,1.71,2.67,1.27,1.19,0.84,3.02,1.27,2.64,3.03,9.36,4.73,3.36,1.88,3.13,10.58,6.11
DOLNOŚLĄSKIE,2013,0.87,0.64,0.53,0.93,1.53,2.35,1.55,1.55,1.09,3.27,1.6,2.48,2.31,12.01,2.34,5.77,1.72,3.65,0.0,0.0
DOLNOŚLĄSKIE,2014,0.75,0.5,0.38,0.84,1.17,2.86,1.47,1.57,1.01,2.02,1.37,2.67,1.44,11.11,2.85,6.43,1.36,3.57,0.0,3.92
DOLNOŚLĄSKIE,2015,0.88,0.73,0.54,0.39,0.85,2.71,1.48,1.49,0.67,2.65,1.77,0.0,1.64,0.0,3.1,8.81,1.27,2.44,0.8,3.93
DOLNOŚLĄSKIE,2016,1.14,0.73,0.36,0.38,0.81,2.36,1.44,1.2,0.61,3.11,1.38,0.0,1.67,5.7,2.99,5.28,1.37,1.44,25.0,5.04
DOLNOŚLĄSKIE,2017,1.13,0.39,0.26,0.61,0.99,2.56,1.52,1.07,1.07,2.63,3.64,0.0,4.52,5.91,4.5,16.86,2.37,2.11,0.0,0.0
DOLNOŚLĄSKIE,2018,0.93,0.58,0.54,0.42,1.59,6.61,2.16,1.03,0.46,3.04,1.37,0.0,1.53,7.22,3.79,9.43,1.64,0.53,0.0,0.0
