rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2018,Transport i gospodarka magazynowa,1116,142994915000,6624927000,5506797000,4654697000,5468517000,0.696,11417335000,52802725000,37815932000,0.028999999999999998,136551378000,10249438000,18358813000,1401847000,0.9620000000000001,1266838000,3033884000,122372840000,1266838000,0.7290000000000001,65077000,,125134043000,0.028999999999999998,24490266000,35184168000,24221000,5302556000,1156410000,137526398000,1.368,4201679000,0.038,0.72,23634116000,3929100000,2185134000,1870236000,,1577658000,2456677000,1140981000,3132317000,14635898000,1305118000,1546026000
2019,Transport i gospodarka magazynowa,1136,155900767000,7112854000,5887784000,4557921000,5850725000,0.698,12122660000,55781309000,40059558000,0.03,149362446000,10897398000,19277064000,1442272000,0.9620000000000001,1234195000,2658831000,134921675000,1234195000,0.7540000000000001,64058000,,137239786000,0.024,25675007000,36781041000,22072000,5425224000,1262129000,150050042000,1.3800000000000001,4616530000,0.038,0.763,25098382000,3543373000,2358171000,1572138000,,1764368000,2592029000,1113097000,3379407000,15933992000,1271254000,1628513000
2020,Transport i gospodarka magazynowa,1149,151228385000,6977576000,5908514000,4030739000,3187919000,0.835,10863072000,61147799000,47276157000,0.015,143349131000,9742574000,19122998000,1363473000,0.9790000000000001,965681000,2930918000,132410781000,965681000,0.725,108157000,,132486059000,0.008,30795153000,36881000000,13154000,6855675000,3789657000,148040466000,1.524,2222238000,0.021,0.777,25424753000,1195776000,3470237000,2956193000,,1762102000,2855338000,1023579000,3335639000,16808148000,3686276000,1592254000
2011,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,293,9438996000,862461000,750350000,396407000,510366000,0.625,2183247000,2239432000,5042718000,0.044000000000000004,8686562000,610853000,504116000,62870000,0.9470000000000001,95511000,136182000,7513066000,95511000,0.6940000000000001,7289000,500186000.0,6503315000,0.065,1182321000,1890363000,2917000,460752000,352095000,8938810000,1.045,414855000,0.054000000000000006,0.669,793171000,562643000,17006000,678709000,10180000.0,76743000,182027000,291682000,153110000,686337000,335495000,110830000
2012,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,297,9761300000,1065245000,938407000,835631000,807784000,0.526,1208795000,2079984000,5196576000,0.07200000000000001,8850620000,568616000,419458000,45259000,0.917,105514000,265952000,7759831000,105514000,0.8109999999999999,12831000,807584000.0,7641825000,0.059000000000000004,1127770000,2144716000,1249000,420399000,257461000,8953716000,0.8640000000000001,702270000,0.083,0.7000000000000001,724529000,522173000,17150000,359317000,200000.0,70149000,269241000,490281000,131335000,718045000,236137000,96350000
2013,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,301,9714978000,777516000,686067000,589936000,472239000,0.6409999999999999,974462000,2470506000,5768403000,0.04,9144104000,464029000,491278000,62885000,0.951,80599000,179612000,8190933000,80599000,0.8,53636000,472288000.0,8169642000,0.053,1137168000,1774310000,1373000,316591000,305277000,9242690000,1.11,391640000,0.049,0.6940000000000001,833128000,489142000,21195000,408116000,-49000.0,217619000,169314000,254283000,337651000,688288000,294427000,162559000
2014,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,292,10322363000,714224000,633942000,941323000,490513000,0.634,1102216000,2376868000,6134204000,0.04,9910896000,588964000,472054000,50987000,0.953,78387000,160461000,8687277000,78387000,0.8200000000000001,14604000,480841000.0,8808680000,0.064,1356864000,2138922000,1364000,244743000,223711000,9841522000,0.993,412126000,0.048,0.753,767133000,634655000,22470000,404820000,9672000.0,78261000,196681000,166724000,155455000,671637000,221816000,97416000
2015,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,292,11417334000,1131467000,1017027000,1033749000,927485000,0.56,1011785000,2354335000,6143246000,0.07,10385500000,471395000,484761000,50004000,0.919,123737000,508909000,9104923000,123737000,0.8440000000000001,11055000,927185000.0,9373715000,0.078,1312796000,2344534000,5258000,678457000,203982000,10490149000,0.8940000000000001,803748000,0.081,0.767,783101000,809182000,18578000,404922000,300000.0,74089000,218880000,353377000,162856000,703563000,213279000,95582000
2016,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,303,12468018000,1146055000,1023131000,708226000,997941000,0.598,1349637000,2423685000,6072050000,0.07,11871943000,731181000,540588000,54542000,0.92,119030000,200131000,10148624000,119030000,0.888,8481000,,10522306000,0.084,1272729000,2126650000,3733000,355546000,148114000,11470077000,1.0190000000000001,878911000,0.08,0.805,893442000,992138000,23811000,390141000,,97861000,231482000,240529000,179665000,770770000,144220000,77849000
2017,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,323,14033879000,1493432000,1304047000,648256000,1330297000,0.675,1424535000,3171149000,6305809000,0.081,13178295000,798294000,686743000,56745000,0.905,190861000,199783000,11419695000,190861000,0.8740000000000001,54610000,,11753760000,0.073,1500103000,2223884000,49931000,573615000,163135000,12703582000,1.217,1139436000,0.095,0.802,1207244000,960306000,21759000,285810000,,184486000,216800000,281969000,363458000,904460000,164611000,100344000
