powiat,rok,wartość
powiat Tarnów,2017,0.0
powiat Tarnów,2018,0.0
powiat Tarnów,2019,0.0
powiat nowotarski,2011,883.88
powiat nowotarski,2012,897.16
powiat nowotarski,2013,797.5
powiat nowotarski,2014,864.71
powiat nowotarski,2015,819.85
powiat nowotarski,2016,835.66
powiat nowotarski,2017,899.37
powiat nowotarski,2018,857.77
powiat nowotarski,2019,1084.67
powiat suski,2011,926.79
powiat suski,2012,1105.25
powiat suski,2013,973.54
powiat suski,2014,981.6
powiat suski,2015,989.64
powiat suski,2016,945.11
powiat suski,2017,1037.65
powiat suski,2018,1080.65
powiat suski,2019,1365.39
powiat tatrzański,2011,928.14
powiat tatrzański,2012,924.3
powiat tatrzański,2013,996.83
powiat tatrzański,2014,992.46
powiat tatrzański,2015,872.49
powiat tatrzański,2016,898.51
powiat tatrzański,2017,1019.48
powiat tatrzański,2018,935.61
powiat tatrzański,2019,1069.47
"powiat bielski, śląskie",2011,677.45
"powiat bielski, śląskie",2012,632.8
"powiat bielski, śląskie",2013,661.0
"powiat bielski, śląskie",2014,721.28
"powiat bielski, śląskie",2015,683.57
"powiat bielski, śląskie",2016,662.23
"powiat bielski, śląskie",2017,721.74
"powiat bielski, śląskie",2018,844.81
"powiat bielski, śląskie",2019,902.36
powiat cieszyński,2011,933.89
powiat cieszyński,2012,881.12
powiat cieszyński,2013,816.45
powiat cieszyński,2014,852.78
powiat cieszyński,2015,881.07
powiat cieszyński,2016,922.9
powiat cieszyński,2017,941.85
powiat cieszyński,2018,1076.77
powiat cieszyński,2019,1200.59
powiat żywiecki,2011,925.09
powiat żywiecki,2012,890.8
powiat żywiecki,2013,882.62
powiat żywiecki,2014,897.91
powiat żywiecki,2015,828.46
powiat żywiecki,2016,854.68
powiat żywiecki,2017,891.97
powiat żywiecki,2018,1135.92
powiat żywiecki,2019,1132.39
powiat Bielsko-Biała,2011,0.0
powiat Bielsko-Biała,2012,0.0
powiat Bielsko-Biała,2013,0.0
powiat Bielsko-Biała,2014,0.0
powiat Bielsko-Biała,2015,0.0
powiat Bielsko-Biała,2016,0.0
powiat Bielsko-Biała,2017,0.0
powiat Bielsko-Biała,2018,0.0
powiat Bielsko-Biała,2019,0.0
powiat lubliniecki,2011,1027.88
powiat lubliniecki,2012,1055.39
powiat lubliniecki,2013,1117.47
powiat lubliniecki,2014,1090.69
powiat lubliniecki,2015,1075.89
powiat lubliniecki,2016,1096.29
powiat lubliniecki,2017,1134.31
powiat lubliniecki,2018,1150.52
powiat lubliniecki,2019,1255.85
powiat tarnogórski,2011,1043.78
powiat tarnogórski,2012,981.84
powiat tarnogórski,2013,958.26
powiat tarnogórski,2014,1000.59
powiat tarnogórski,2015,966.96
powiat tarnogórski,2016,1011.27
powiat tarnogórski,2017,1064.8
powiat tarnogórski,2018,1182.16
powiat tarnogórski,2019,1294.87
powiat Bytom,2011,0.0
powiat Bytom,2012,0.0
powiat Bytom,2013,0.0
powiat Bytom,2014,0.0
powiat Bytom,2015,0.0
powiat Bytom,2016,0.0
powiat Bytom,2017,0.0
powiat Bytom,2018,0.0
powiat Bytom,2019,0.0
powiat Piekary Śląskie,2011,0.0
powiat Piekary Śląskie,2012,0.0
powiat Piekary Śląskie,2013,0.0
powiat Piekary Śląskie,2014,0.0
powiat Piekary Śląskie,2015,0.0
powiat Piekary Śląskie,2016,0.0
powiat Piekary Śląskie,2017,0.0
powiat Piekary Śląskie,2018,0.0
powiat Piekary Śląskie,2019,0.0
powiat częstochowski,2011,808.71
powiat częstochowski,2012,731.71
powiat częstochowski,2013,767.12
powiat częstochowski,2014,640.94
powiat częstochowski,2015,728.55
powiat częstochowski,2016,713.17
powiat częstochowski,2017,735.29
powiat częstochowski,2018,880.73
powiat częstochowski,2019,873.63
powiat kłobucki,2011,753.05
powiat kłobucki,2012,657.82
powiat kłobucki,2013,677.2
powiat kłobucki,2014,716.11
powiat kłobucki,2015,712.69
powiat kłobucki,2016,727.05
powiat kłobucki,2017,819.41
powiat kłobucki,2018,875.0
powiat kłobucki,2019,842.24
powiat myszkowski,2011,942.22
powiat myszkowski,2012,895.04
powiat myszkowski,2013,952.87
powiat myszkowski,2014,847.4
powiat myszkowski,2015,791.08
powiat myszkowski,2016,862.1
powiat myszkowski,2017,881.53
powiat myszkowski,2018,914.52
powiat myszkowski,2019,942.68
powiat Częstochowa,2011,0.0
powiat Częstochowa,2012,0.0
powiat Częstochowa,2013,0.0
powiat Częstochowa,2014,0.0
powiat Częstochowa,2015,0.0
powiat Częstochowa,2016,0.0
powiat Częstochowa,2017,0.0
powiat Częstochowa,2018,0.0
powiat Częstochowa,2019,0.0
powiat gliwicki,2011,579.7
powiat gliwicki,2012,618.89
powiat gliwicki,2013,596.46
powiat gliwicki,2014,677.17
powiat gliwicki,2015,734.51
powiat gliwicki,2016,684.8
powiat gliwicki,2017,738.68
powiat gliwicki,2018,749.51
powiat gliwicki,2019,832.16
powiat Gliwice,2011,0.0
powiat Gliwice,2012,0.0
powiat Gliwice,2013,0.0
powiat Gliwice,2014,0.0
powiat Gliwice,2015,0.0
powiat Gliwice,2016,0.0
powiat Gliwice,2017,0.0
powiat Gliwice,2018,0.0
powiat Gliwice,2019,0.0
powiat Zabrze,2011,0.0
powiat Zabrze,2012,0.0
powiat Zabrze,2013,0.0
powiat Zabrze,2014,0.0
powiat Zabrze,2015,0.0
powiat Zabrze,2016,0.0
powiat Zabrze,2017,0.0
powiat Zabrze,2018,0.0
powiat Zabrze,2019,0.0
powiat Chorzów,2011,0.0
powiat Chorzów,2012,0.0
powiat Chorzów,2013,0.0
powiat Chorzów,2014,0.0
powiat Chorzów,2015,0.0
powiat Chorzów,2016,0.0
powiat Chorzów,2017,0.0
powiat Chorzów,2018,0.0
powiat Chorzów,2019,0.0
powiat Katowice,2011,0.0
powiat Katowice,2012,0.0
powiat Katowice,2013,0.0
powiat Katowice,2014,0.0
powiat Katowice,2015,0.0
powiat Katowice,2016,0.0
powiat Katowice,2017,0.0
powiat Katowice,2018,0.0
powiat Katowice,2019,0.0
powiat Mysłowice,2011,0.0
powiat Mysłowice,2012,0.0
powiat Mysłowice,2013,0.0
powiat Mysłowice,2014,0.0
powiat Mysłowice,2015,0.0
powiat Mysłowice,2016,0.0
powiat Mysłowice,2017,0.0
powiat Mysłowice,2018,0.0
powiat Mysłowice,2019,0.0
