rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2012,"Działalność profesjonalna, naukowa i techniczna",552,37959000,3602685,3260040,2097554,1548158,53.0,4300686,16828115,7395315,3.2,33741959,3530769,6740357,199511,95.9,339387,2178185,29120969,339387,87.6,239769,1548193.0,29441273,3.2,5839434,11025394,17262,2640899,2054527,36410807,137.1,1208771,4.1,77.4,9279688,1090221,82600,1580884,-35.0,183352,859139,1576142,663691,4770004,2051269,1045302
2013,"Działalność profesjonalna, naukowa i techniczna",548,40005200,3739218,3366500,2539634,3250116,62.4,5168683,18457776,8836883,7.2,35734486,4284408,7111309,278983,91.9,365263,1450773,29875174,365263,82.3,262786,3247975.0,30565803,4.4,7627409,12214447,19744,2748019,489102,36757225,136.1,2884853,8.1,79.0,8999598,1574904,144394,1146870,2141.0,123723,942774,1522695,738550,4855701,481647,1092219
2014,"Działalność profesjonalna, naukowa i techniczna",559,42814198,4531688,4145599,1602130,3855560,81.0,5690202,19528056,10838841,8.1,38768421,4549371,7582036,265242,91.0,403867,1059143,32203322,403867,78.1,236368,3855556.0,33078219,5.2,8020137,9900672,20548,2478797,676128,38958642,175.6,3451693,9.0,79.8,9367638,2015728,151359,1146806,4.0,139151,811514,1566980,746409,4818787,693906,1393872
2015,"Działalność profesjonalna, naukowa i techniczna",575,44958444,3614276,3231795,1464806,2902369,72.1,6287317,19988765,9497196,5.6,40895318,4854610,8580170,217448,93.5,403303,1719974,33735609,403303,72.5,243626,2902388.0,34608001,5.6,7900305,10951461,23176,1855705,711907,42056056,167.2,2499066,6.5,79.0,10411935,2305099,137148,1745863,-19.0,125907,896306,2207421,659763,5211978,732729,1016762
2016,"Działalność profesjonalna, naukowa i techniczna",598,47262420,4321311,3866850,3159475,3341550,57.7,6414756,21225106,7946075,6.0,43545713,4929927,8776412,264887,92.9,501269,917552,36365664,501269,81.7,309107,,37130957,5.2,7782210,13479893,18479,1674156,979761,43920870,141.4,2840281,7.1,76.9,11278560,2250122,192104,1707727,,177161,1020153,2042551,845322,5940675,1026569,1319014
2017,"Działalność profesjonalna, naukowa i techniczna",644,45778259,4846492,4295943,2055553,4398306,65.0,1286663,22540920,4578112,8.4,41757276,1145688,9610015,454544,90.4,550453,876312,38275436,550453,85.5,263954,,40470613,5.6,7732494,11898521,41243,1590501,448186,41379953,169.2,3847853,9.6,78.3,12397135,2336152,164847,1082517,,198464,1063609,2430482,1013889,6169243,448090,1397402
2018,"Działalność profesjonalna, naukowa i techniczna",650,49996912,3839296,3419750,2308173,2221798,76.9,1222570,24365082,8525707,3.6,47121189,1071992,10330356,123252,95.6,417164,1237851,44023097,417164,74.7,244272,,45898619,4.3,9500125,12361038,20524,1411117,1617498,47775114,176.7,1804634,4.4,80.6,12346729,2026100,128418,1442174,,176419,1149560,1464606,644666,5815679,1615116,1873562
2019,"Działalność profesjonalna, naukowa i techniczna",678,55387283,5685833,5179298,3341964,4241299,63.3,2991983,26982233,11283002,6.7,51318690,2720382,11225495,327748,92.3,552899,966333,45778501,552899,80.3,339094,,48326707,5.5,9898693,15634198,29130,1598199,1444534,51145984,152.5,3688400,7.7,80.1,13942317,2819807,199124,1680768,,248105,1355896,2470394,1155306,7459046,1490898,1985917
2020,"Działalność profesjonalna, naukowa i techniczna",712,57940075,6411000,5845637,4522222,4514257,84.5,3064376,32811893,74513846,6.9,53409740,2697530,11633110,270841,92.2,495661,1014280,47536476,495661,81.2,237471,,50345364,5.9,14317702,16935206,19504,1792028,1896743,53425818,176.6,4018596,7.8,79.4,15593035,3175734,224320,2177532,,297899,1450749,2738307,907246,7121350,1827041,1993910
2011,"Działalność związana z kulturą, rozrywką i rekreacją",54,12136774,350580,279690,130286,163830,127.2,732969,1244164,792273,0.8,11834521,939903,69207,8639,98.7,70592,115554,10765479,70592,77.4,2173,163832.0,11101552,1.1,937425,736848,192,219745,186750,11972942,159.5,93238,1.3,44.4,237771,129139,100031,152006,-2.0,20986,133000,82508,32402,252385,186452,36566
