rok,rodzaj,przedsiębiorstwa objęte badaniem,przychody z całokształtu działalności (przychody ogółem),zysk brutto,zysk netto,kredyty bankowe i pożyczki,wynik finansowy brutto,wskaźnik płynności finansowej I stopnia,przychody netto ze sprzedaży towarów i materiałów,aktywa obrotowe,zobowiązania długoterminowe,wskaźnik rentowności obrotu netto,"przychody netto ze sprzedaży produktów, towarów i materiałów",wartość sprzedanych towarów i materiałów,należności krótkoterminowe z tytułu dostaw i usług,zapasy - towary,wskaźnik poziomu kosztów,obowiązkowe obciążenia wyniku finansowego brutto - podatek dochodowy,pozostałe koszty operacyjne,koszt sprzedanych produktów,obowiązkowe obciążenia wyniku finansowego brutto,udział przychodów przedsiębiorstw wykazujących zysk netto w przychodach z całokształtu działalności,zapasy - półprodukty i produkty w toku,wynik finansowy na działalności gospodarczej,przychody netto ze sprzedaży produktów,wskaźnik rentowności sprzedaży brutto,inwestycje krótkoterminowe,zobowiązania krótkoterminowe,zapasy - produkty gotowe,pozostałe przychody operacyjne,strata brutto,koszty uzyskania przychodów z całokształtu działalności (koszty ogółem),wskaźnik płynności finansowej II stopnia,wynik finansowy netto,wskaźnik rentowności obrotu brutto,udział liczby przedsiębiorstw wykazujących zysk netto w ogólnej liczbie przedsiębiorstw,należności krótkoterminowe,"wynik finansowy ze sprzedaży produktów, towarów i materiałów",pozostałe przychody operacyjne - dotacje,koszty finansowe,wynik zdarzeń nadzwyczajnych,zapasy - materiały,"zobowiązania krótkoterminowe z tytułu podatków, ceł, ubezpieczeń i innych świadczeń",przychody finansowe,zapasy,zobowiązania krótkoterminowe z tytułu dostaw i usług,strata netto,krótkoterminowe rozliczenia międzyokresowe
2012,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,297,9761300,1065245,938407,835631,807784,52.6,1208795,2079984,5196576,7.2,8850620,568616,419458,45259,91.7,105514,265952,7759831,105514,81.1,12831,807584.0,7641825,5.9,1127770,2144716,1249,420399,257461,8953716,86.4,702270,8.3,70.0,724529,522173,17150,359317,200.0,70149,269241,490281,131335,718045,236137,96350
2013,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,301,9714978,777516,686067,589936,472239,64.1,974462,2470506,5768403,4.0,9144104,464029,491278,62885,95.1,80599,179612,8190933,80599,80.0,53636,472288.0,8169642,5.3,1137168,1774310,1373,316591,305277,9242690,111.0,391640,4.9,69.4,833128,489142,21195,408116,-49.0,217619,169314,254283,337651,688288,294427,162559
2014,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,292,10322363,714224,633942,941323,490513,63.4,1102216,2376868,6134204,4.0,9910896,588964,472054,50987,95.3,78387,160461,8687277,78387,82.0,14604,480841.0,8808680,6.4,1356864,2138922,1364,244743,223711,9841522,99.3,412126,4.8,75.3,767133,634655,22470,404820,9672.0,78261,196681,166724,155455,671637,221816,97416
2015,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,292,11417334,1131467,1017027,1033749,927485,56.0,1011785,2354335,6143246,7.0,10385500,471395,484761,50004,91.9,123737,508909,9104923,123737,84.4,11055,927185.0,9373715,7.8,1312796,2344534,5258,678457,203982,10490149,89.4,803748,8.1,76.7,783101,809182,18578,404922,300.0,74089,218880,353377,162856,703563,213279,95582
2016,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,303,12468018,1146055,1023131,708226,997941,59.8,1349637,2423685,6072050,7.0,11871943,731181,540588,54542,92.0,119030,200131,10148624,119030,88.8,8481,,10522306,8.4,1272729,2126650,3733,355546,148114,11470077,101.9,878911,8.0,80.5,893442,992138,23811,390141,,97861,231482,240529,179665,770770,144220,77849
2017,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,323,14033879,1493432,1304047,648256,1330297,67.5,1424535,3171149,6305809,8.1,13178295,798294,686743,56745,90.5,190861,199783,11419695,190861,87.4,54610,,11753760,7.3,1500103,2223884,49931,573615,163135,12703582,121.7,1139436,9.5,80.2,1207244,960306,21759,285810,,184486,216800,281969,363458,904460,164611,100344
2018,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,319,14947803,1280792,1141049,581932,1092419,82.3,1429275,3509916,5689713,6.4,14410617,841049,784944,69426,92.7,139972,225846,12467871,139972,86.8,10696,,12981342,7.6,1963197,2385321,8805,421465,188373,13855384,134.2,952447,7.3,79.9,1237434,1101697,20469,320618,,110574,274724,115721,214073,990483,188602,95212
2019,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,327,16676359,1699448,1491898,655489,1538490,120.8,1603900,5298168,6342936,8.0,16080556,1014354,785361,82893,90.8,208296,189288,13643227,208296,88.1,18886,,14476656,8.8,3637223,3009897,6939,322365,160958,15137869,165.1,1330194,9.2,83.2,1331613,1422975,21810,291000,,118226,396429,273438,236493,1052127,161704,92839
2020,Działalność związana z zakwaterowaniem i usługami gastronomicznymi,329,11952958,592237,517994,884396,-918283,86.6,1046328,4146732,6486307,-7.7,11333333,700564,582497,104155,107.7,462,283430,11378014,462,56.4,20733,,10287005,-6.6,2783032,3214973,7199,513273,1510520,12871241,118.2,-918745,-7.7,45.9,1018133,-745245,138878,509233,,109919,280938,106352,250144,1011710,1436739,95423
2011,Informacja i komunikacja,419,86905821,11020785,9952967,3320818,9171838,64.0,4904260,30219628,33345975,9.4,77574320,7741687,11301571,1045704,89.4,990554,2701103,61867413,990554,85.4,550369,9171764.0,72670060,10.3,12997127,20296444,607398,3762348,1848947,77734057,128.6,8181284,10.6,78.0,13108423,7965220,148979,5423854,74.0,327903,1445946,5569153,2635388,10165413,1771683,1478690
2012,Informacja i komunikacja,456,90107191,9555173,8891320,5053346,7818824,56.2,5407171,29843836,28695472,8.0,80358019,7839811,12399028,1004696,91.3,565755,4628236,65470359,565755,84.7,389105,7820091.0,74950848,8.8,11503235,20471285,591687,5027200,1736349,82287100,126.7,7253069,8.7,77.9,14441339,7047849,158779,4348694,-1267.0,357867,1464718,4721972,2439224,9670463,1638251,1460038
2013,Informacja i komunikacja,466,86223524,8410869,7768596,3926720,6527824,41.4,6835123,28709855,36085272,7.3,79098522,9054128,12285227,888156,92.4,209892,2138681,63058344,209892,76.8,420410,6527903.0,72263399,8.8,9995567,24129619,665833,3601013,1883045,79695621,102.2,6317932,7.6,80.5,14661809,6986050,173838,5444468,-79.0,303964,1977192,3523989,2407993,8650836,1450664,1644486
2014,Informacja i komunikacja,481,83668997,7299839,6364413,4623990,5563918,62.8,6479690,30077027,42895620,5.8,78686273,8004195,12643719,893033,93.4,751556,2073101,62759634,751556,81.7,349963,5558790.0,72206583,10.1,11521017,18350454,561796,2468721,1735921,78110207,144.8,4812362,6.6,79.0,15050311,7922444,169522,5273277,5128.0,282770,1512691,2514003,2306344,8540650,1552051,1199355
2015,Informacja i komunikacja,492,89885709,8203946,7109091,5298942,6621478,51.7,7747862,34143204,38140817,6.4,85669221,9033720,14800616,908867,92.6,913417,1762626,67492495,913417,80.1,358524,6621254.0,77921359,10.7,13523037,26151372,484546,2178103,1582468,83264455,116.0,5708061,7.4,83.5,16807328,9143006,148265,4975614,224.0,292094,1873979,2038385,2456562,10242567,1401030,1356277
2016,Informacja i komunikacja,517,94604462,8803365,7687394,3764275,5783645,56.3,8852127,32793657,48739784,4.9,89784543,9460351,15815356,826271,93.9,1116001,3668772,71575921,1116001,75.8,441845,,80932416,9.7,10802367,19171639,459229,2343998,3019720,88820817,152.6,4667644,6.1,78.3,18451549,8748271,108402,4115773,,259874,1720561,2475921,2189426,9866583,3019750,1350315
2017,Informacja i komunikacja,556,100823471,9274018,8134272,5701738,7826346,44.0,9282550,35420090,46135936,6.7,95743386,8980787,18007591,958746,92.2,1071161,1729206,78240958,1071161,78.4,591609,,86460836,8.9,11088486,25185451,657216,1834358,1447672,92997125,124.8,6755185,7.8,79.0,20341317,8521641,122531,4046174,,269533,1763736,3245727,2498191,12178686,1379087,1492096
2018,Informacja i komunikacja,576,103816833,8680500,7184515,6247604,5876186,46.8,10370644,40720117,39057576,4.1,99251756,9125324,20780003,1018706,94.3,1627509,4764205,80677186,1627509,82.0,748698,,88881112,9.5,11726061,25068946,863134,2733037,2804314,97940647,140.1,4248677,5.7,82.5,23402218,9449246,160295,3373932,,382778,1988309,1832040,3054580,10715128,2935838,2537258
2019,Informacja i komunikacja,612,110062851,10906199,8806651,5018037,10419386,45.9,11412258,42899530,43047523,7.5,105667553,10349838,22247135,976260,90.5,2153358,2642443,83879348,2153358,93.2,799114,,94255295,10.8,12193689,26543941,877484,2343194,486813,99643465,139.8,8266028,9.5,85.3,24903938,11438367,101192,2771836,,343263,2240800,2052104,3041682,11652643,540623,2760221
2020,Informacja i komunikacja,639,115112677,13961445,11750274,6827621,12751335,59.7,9470178,48709708,40143928,9.1,110563392,8689872,21672248,872351,88.9,2263058,2558296,87974865,2263058,92.5,871681,,101093214,12.6,17471507,29268303,943674,2256644,1210110,102361342,147.2,10488277,11.1,85.0,25603678,13898655,166608,3138309,,364161,2693137,2292641,3137706,11868209,1261997,2496817
2011,Górnictwo i wydobywanie,141,64588680,18825324,15368586,911781,18721342,142.2,1041801,31152305,3133359,23.6,56989266,811503,4923216,63945,71.0,3448803,2282074,41537402,3448803,98.0,1674251,18698515.0,55947465,25.7,19322540,13590872,1476124,1806315,103982,45890165,187.6,15272539,29.0,92.2,6167960,14640361,298236,1259186,22827.0,706043,3863772,5793099,3951908,4642444,96047,1709897
2012,Górnictwo i wydobywanie,143,60015974,9131951,7001698,2571439,8483349,32.6,2919691,18521075,3809985,10.7,56476796,2631128,4845895,74458,85.9,2051358,1839196,44015392,2051358,93.8,1959284,8453892.0,53557105,17.4,4904399,15039671,2939838,1561810,648602,51562082,73.7,6431991,14.1,69.2,6185386,9830276,310318,3076366,29457.0,960282,3089708,1977368,5944805,4959864,569707,1486485
2013,Górnictwo i wydobywanie,149,58124988,5660411,4048933,2832901,5172008,27.1,4256740,18278262,5025734,6.2,54279960,3892107,5377454,140442,91.1,1565495,1515649,45896438,1565495,93.2,1662712,5154899.0,50023220,8.3,4526718,16700838,2136684,2941098,488403,52970089,69.1,3606513,8.9,69.1,7011438,4491415,297224,1665895,17109.0,1023587,2846519,903930,5016217,5911684,442420,1723889
2014,Górnictwo i wydobywanie,146,54500060,4288565,3137716,2441006,1773530,16.2,4187358,15139851,7031015,1.5,49076537,3838748,5280135,177473,96.7,974652,2924922,43583774,974652,50.2,1645300,1777263.0,44889179,3.4,2946319,18237799,2187894,4549228,2515035,52722797,52.9,798878,3.3,72.6,6709472,1654015,314422,2375353,-3733.0,922801,2823112,874295,4961839,6353070,2338838,522221
2015,Górnictwo i wydobywanie,143,51538007,2824973,1796188,3309743,-480299,15.6,4170846,13959762,9520242,-3.1,47300805,3859767,4081913,189785,100.8,1106227,3003910,41794289,1106227,53.3,1689302,-397034.0,43129959,3.5,2968572,18996557,1696506,3308287,3305272,51935041,46.9,-1586526,-0.9,73.4,5941353,1646749,740220,3277075,-83265.0,975248,2568253,928915,4562879,5916248,3382714,486958
2016,Górnictwo i wydobywanie,136,48740332,3829684,2898842,2662009,2293252,27.1,3674055,14200386,13503182,2.8,44091441,3325921,3992521,528341,95.3,911112,3272803,38436450,911112,75.6,1872013,,40417386,5.3,4104366,15121827,1173644,3697361,1536432,46447080,60.9,1382140,4.7,73.5,5109877,2329070,1023215,1411906,,820347,2562576,951530,4400112,5646303,1516702,586031
2017,Górnictwo i wydobywanie,131,60126147,8455639,6653313,1730339,7843929,43.3,5155729,18930545,11951120,10.1,49500764,4807328,4536289,266381,87.0,1794400,7075337,38392766,1794400,93.6,2995841,,44345035,12.7,6006885,13875894,1019554,8868939,611710,52282218,93.4,6049529,13.0,79.4,6948296,6300670,2647434,2006787,,909140,2128660,1756444,5207182,6139674,603784,768182
2018,Górnictwo i wydobywanie,132,57348817,6434286,5052691,2548018,5039217,47.2,5786622,19085564,11282987,6.6,51809976,5312229,4097845,329138,91.2,1249174,2488980,42132605,1249174,91.7,3175969,,46023354,8.4,7448279,15794844,1342606,2948340,1395069,52309600,81.0,3790043,8.8,84.8,5350191,4365142,1405137,2375786,,897835,2213942,2590501,5761087,6778024,1262648,526007
2019,Górnictwo i wydobywanie,132,54559402,4260284,3239904,2072682,2395589,35.1,4813126,17069643,14261116,2.6,51574776,4445208,3252888,278124,95.6,970838,2141632,43930735,970838,93.2,2731078,,46761650,6.2,5472891,15570484,2234449,1584550,1864695,52163813,67.4,1424751,4.4,86.4,5016546,3198833,633565,1646238,,974697,2035243,1400076,6237912,6679044,1815153,342294
2020,Górnictwo i wydobywanie,127,51346360,3562378,2438002,2658520,-2409296,37.2,4212629,18409560,14325890,-5.5,47822487,3830104,3459406,190773,104.7,406593,4612682,43262418,406593,54.9,2348377,,43609858,1.5,7396775,19872647,2249134,2654047,5971674,53755656,60.2,-2815889,-4.7,69.3,4564358,729965,1000910,2050452,,1295450,3056052,869826,6104885,7231937,5253891,343542
2011,Działalność w zakresie usług administrowania i działalność wspierająca,715,29293656,1814170,1474313,2959054,1571391,33.2,1890269,12760484,9659219,4.2,27181314,1631030,4663202,439824,94.6,344895,598126,24469372,344895,82.5,43583,1571302.0,25291045,4.0,3370737,10146245,39674,1664581,242779,27722354,114.2,1226496,5.4,77.5,8217484,1080912,864455,1023826,89.0,234382,1113450,447761,825676,2662320,247817,346587
2012,Działalność w zakresie usług administrowania i działalność wspierająca,767,31049810,1762114,1362649,4244585,1517802,33.0,1774072,12537968,8581449,3.6,28558617,1506399,4260605,355362,95.1,410508,808884,26184009,410508,82.6,57623,1517761.0,26784545,3.0,3530115,10703424,35220,2006149,244312,29532049,106.5,1107294,4.9,74.6,7869116,868209,1001504,1032757,41.0,226339,1334187,485044,687218,2533357,255355,451519
2013,Działalność w zakresie usług administrowania i działalność wspierająca,782,33509812,1831868,1497219,7011226,1531930,30.3,1358409,16856945,7683688,3.6,30764213,1286084,4829788,275690,95.4,326753,807848,28963108,326753,89.3,66572,1531904.0,29405804,1.7,4051097,13375796,28789,2159417,299938,31977908,117.8,1205177,4.6,79.0,11702836,515021,1123377,920868,26.0,265432,1240554,586182,648168,2691349,292042,454844
2014,Działalność w zakresie usług administrowania i działalność wspierająca,817,35673638,2214190,1930896,5008110,1811279,37.3,1039198,14736228,12831425,4.3,32823347,804234,4949614,306890,94.9,283955,666284,31380374,283955,88.9,51778,1812725.0,31784149,1.9,4281746,11489294,33040,1989980,402911,33860913,117.6,1527324,5.1,78.2,9231527,638739,982788,1010021,-1446.0,221938,1219831,860311,633944,2525109,403572,589011
2015,Działalność w zakresie usług administrowania i działalność wspierająca,878,40498441,2168604,1843893,6813073,1998097,32.7,1227397,17193396,14278529,4.1,37560004,1359256,5684088,439674,95.1,328783,905249,35306268,328783,88.1,50048,1997903.0,36332607,2.4,4718979,14435089,41650,2182476,170507,38500538,106.9,1669314,4.9,80.5,10719218,894480,981440,929765,194.0,391835,1365592,755961,975412,2929208,174579,779787
2016,Działalność w zakresie usług administrowania i działalność wspierająca,909,43369242,2192223,1845693,9252549,1893201,39.5,1226577,20623863,21161700,3.5,40358939,1004737,6389105,505063,95.6,354769,862368,38498070,354769,85.1,45066,,39132362,2.1,6731376,17060319,46136,2228320,299022,41476041,110.4,1538432,4.4,81.3,12095280,856132,1079543,1110866,,277975,1465823,781983,891932,3450153,307261,905275
2017,Działalność w zakresie usług administrowania i działalność wspierająca,973,50208484,2323875,1955455,12161346,1998709,42.0,1264568,24367771,25064887,3.2,46861540,1019783,7988745,712410,96.0,391631,1022020,44652688,391631,81.5,52998,,45596972,2.5,9397952,22397430,45120,2421037,325166,48209775,98.5,1607078,4.0,78.9,12667072,1189069,1336482,1515284,,391221,1844623,925907,1229489,4070776,348377,1073258
2018,Działalność w zakresie usług administrowania i działalność wspierająca,975,55838672,2625381,2185808,8014152,2229242,54.4,2182749,26519520,28681182,3.2,52896050,2168596,8802529,631432,96.0,463955,842813,49374994,463955,79.7,50368,,50713301,2.6,10475859,19247696,70921,2045555,396139,53609430,127.2,1765287,4.0,79.6,14004299,1352460,1160949,1223027,,382347,2143834,897067,1159609,4928266,420521,879753
2019,Działalność w zakresie usług administrowania i działalność wspierająca,979,60245545,3313891,2858415,12485753,2925300,49.2,2693760,30739862,38219208,4.1,56458726,2598898,11188775,629240,95.1,460657,1769017,51456121,460657,82.1,32394,,53764966,4.3,11633873,23633597,70041,2618849,388591,57320245,119.9,2464643,4.9,79.8,16702276,2403707,1099562,1496209,,384173,1874890,1167970,1143246,4832517,393772,1260467
2020,Działalność w zakresie usług administrowania i działalność wspierająca,984,54585550,3512320,2835742,22450093,2822160,36.1,2762459,30121721,27456480,3.9,50426689,2917922,9139131,659041,94.8,694097,1931748,45384533,694097,86.5,32309,,47664230,4.2,12923063,35767861,34035,3074131,690160,51763390,77.7,2128063,5.2,79.1,14861177,2124234,1215222,1529187,,353913,2155125,1084730,1124675,5243961,707679,1212806
2011,Pozostała działalność usługowa,64,1841566,163580,134917,26759,156793,67.1,220153,599337,379243,6.9,1768634,198966,229855,20156,91.5,29402,10429,1430422,29402,96.0,3579,156803.0,1548481,7.9,216047,322113,2334,35098,6787,1684763,160.0,127391,8.5,82.8,299435,139246,9214,44946,-10.0,48467,42385,37834,74939,189574,7526,8916
2012,Pozostała działalność usługowa,62,2327161,172066,137627,103186,155444,46.1,426842,781187,337478,5.2,2261437,398380,244919,21492,93.3,34556,13788,1720183,34556,89.9,2537,155445.0,1834595,6.3,246532,534961,2031,37385,16622,2171716,112.1,120888,6.7,74.2,353244,142874,11899,39365,-1.0,142443,58475,28339,169756,311080,16739,11655
2013,Pozostała działalność usługowa,62,3200631,215845,165417,82961,130528,40.2,557905,965659,293527,2.7,3123422,501486,463644,31462,95.9,44828,80274,2456063,44828,81.9,6149,130521.0,2565517,5.3,268805,669458,5049,49300,85317,3070110,116.6,85700,4.1,74.2,511503,165873,7856,32287,7.0,120687,62355,27909,170098,441226,79717,15253
2014,Pozostała działalność usługowa,57,3353830,296569,239229,78944,287429,44.2,447361,963889,343735,6.9,3175044,380407,441470,24654,91.4,57021,43544,2615843,57021,95.3,6495,287426.0,2727683,5.6,243204,550796,4286,148233,9140,3066404,134.5,230408,8.6,77.2,497620,178794,8059,26610,3.0,79479,71656,30553,125982,291846,8821,97083
2015,Pozostała działalność usługowa,61,3821887,317563,268557,147362,306595,56.8,367727,1154375,401179,6.7,3679017,312548,479634,18423,92.0,49900,46586,3119249,49900,94.0,15127,306590.0,3311290,6.7,402025,707536,3682,90950,10968,3515297,136.4,256695,8.0,80.3,562828,247220,11567,36914,5.0,92983,75886,51920,130692,344347,11862,58830
2016,Pozostała działalność usługowa,56,3567010,303749,251979,128471,284585,55.5,491818,1140292,459428,6.5,3442603,406264,467953,29034,92.0,51577,57776,2783648,51577,84.3,1162,,2950785,7.3,389514,701272,1861,91133,19164,3282425,137.8,233008,8.0,83.9,576756,252691,7719,34737,,96829,73395,33274,130638,326264,18971,43384
2017,Pozostała działalność usługowa,55,3226270,303666,246766,267908,290600,58.6,378868,986238,359901,7.2,3115235,325030,373868,11797,91.0,56876,25078,2551485,56876,94.2,1926,,2736367,7.7,403477,688846,3144,47360,13066,2935670,123.1,233724,9.0,78.2,444715,238720,4933,34077,,98719,81712,63675,116209,197572,13042,21837
2018,Pozostała działalność usługowa,63,3839108,396058,323441,176972,325848,46.9,306539,1081800,298173,6.5,3722561,250545,493737,16956,91.5,75493,27634,3202192,75493,74.8,2267,,3416022,7.2,360323,768009,3868,56739,70210,3513260,119.5,250355,8.5,60.3,557267,269824,6029,32889,,97379,109035,59808,121787,290840,73086,42423
2019,Pozostała działalność usługowa,56,4079894,426995,369100,191789,333490,45.9,455194,1129624,1118241,6.6,3928841,352228,482668,30430,91.8,63294,20386,3330812,63294,68.9,2582,,3473647,6.3,377550,822890,8295,50773,93505,3746404,117.5,270196,8.2,66.1,589653,245801,2067,42978,,78634,87951,100280,121238,297236,98904,41183
2020,Pozostała działalność usługowa,55,3517559,205152,163486,159392,2435,71.1,380920,1229132,1331059,-1.3,3331070,312141,340825,24061,99.9,48028,101182,2982763,48028,33.1,1191,,2950150,1.1,577016,811569,2017,107415,202717,3515124,135.7,-45593,0.1,49.1,523954,36166,31735,119038,,68411,100150,79074,96093,285660,209079,32069
2011,Przetwórstwo przemysłowe,7267,948058168,52568369,45179012,33779651,46259198,27.1,131321891,317536901,82671616,4.1,922556165,111992434,127938704,7769215,95.1,7261989,10543429,759488950,7261989,88.3,16427724,46196099.0,791234274,5.5,58038292,214412596,28270570,12307655,6309171,901862069,96.6,38997209,4.9,79.7,149099447,51074781,1357253,19837256,63099.0,51409556,14879359,13194348,105099992,121045974,6181803,5299170
2012,Przetwórstwo przemysłowe,7314,992550962,50918151,44054590,51936056,43876711,27.7,141976176,309408546,79936660,3.8,964409353,123283068,120390368,7553000,95.6,6607371,12833118,797379638,6607371,87.8,16963479,43908248.0,822433177,4.5,56534481,203994556,30854537,13125439,7041440,948642714,97.4,37269340,4.4,79.9,142058892,43746647,1570233,15146890,-31537.0,49158731,13598894,15016170,106040845,108853341,6785250,4774328
2013,Przetwórstwo przemysłowe,7212,997425953,53458435,47342420,54436892,46994864,29.4,142618520,320798920,78515627,4.1,973084068,120870865,122505406,7783228,95.3,5855903,11551203,805044729,5855903,86.4,17739411,47029005.0,830465548,4.8,63049878,214718872,31526718,13049751,6463571,950396948,97.1,41138961,4.7,82.5,145525346,47168474,1554244,12930151,-34141.0,48858680,14591493,11292134,107291347,113575445,6203459,4932349
2014,Przetwórstwo przemysłowe,7170,1019021103,54356992,48222295,51151364,42563600,33.9,143657829,340459921,90550935,3.6,996883121,120504659,127880520,8238938,95.8,5507889,11140793,826644273,5507889,78.1,18603232,42446766.0,853225292,5.0,73631402,216883640,31240783,12013912,11793392,976574337,103.4,37055711,4.2,84.1,150538100,49734189,1597793,18284612,116834.0,48889881,16404024,10124070,110730712,112433279,11166584,5559707
2015,Przetwórstwo przemysłowe,7241,1043732623,62392681,55156007,57673567,56237228,33.7,136457740,359107132,89424212,4.7,1019944983,110810394,130501033,8645103,94.6,7189131,11343221,851413604,7189131,91.3,19452726,56176039.0,883487243,5.7,77372892,229260599,31760110,12714286,6155453,987556584,102.3,49048097,5.4,84.7,157097085,57720985,1717779,13989365,61189.0,53992249,17637867,11073354,117890275,117438224,6107910,6746880
2016,Przetwórstwo przemysłowe,7344,1091353894,72006317,63030155,56691471,66203879,33.1,138366265,386783520,97579820,5.2,1064002315,111909257,142063633,9440522,93.9,9069393,12016686,886837723,9069393,90.5,21894101,,925636050,6.1,83908484,253859034,32906403,13285729,5802438,1025150015,99.9,57134486,6.1,83.6,169680679,65255335,1714013,14386349,,59946712,19151431,14065850,126356890,133311328,5895669,6837467
2017,Przetwórstwo przemysłowe,7448,1199033995,74511859,64936534,60793263,67671966,32.3,163272063,417336272,94368048,4.8,1168220650,128746237,153640165,9671579,94.4,9631523,11994031,975710458,9631523,90.0,24679686,,1004948587,5.5,88101763,272676510,35839636,14082994,6839893,1131362029,99.6,58040443,5.6,82.8,183559922,63763955,1922866,14911303,,65575240,19920421,16730351,138263406,143656550,6896091,7411181
2018,Przetwórstwo przemysłowe,7292,1264796568,74119277,63871955,65599365,67717669,28.2,174595487,432893086,98665027,4.5,1238575391,138039205,155489630,10423753,94.6,10414133,12363612,1032679676,10416861,89.9,26814026,,1063979904,5.5,81802311,289965428,39513927,13756730,6401608,1197078899,93.3,57300808,5.4,82.3,188642474,67856510,1924063,13996406,,74147538,19441321,12464447,154322637,148547135,6571147,8125664
2019,Przetwórstwo przemysłowe,7216,1320905571,76277427,65274855,65574546,68179162,31.2,180436493,455283031,113303539,4.3,1295013706,142405079,159309014,11128014,94.8,10997818,13534925,1085010199,10997818,90.3,27150181,,1114577213,5.2,94912070,304526365,42448862,15077929,8098265,1252726409,94.1,57181344,5.2,83.2,191516613,67598428,1948541,11776206,,75759743,20272678,10813936,159781203,155987336,8093511,9073145
2020,Przetwórstwo przemysłowe,7133,1276470006,76051832,66073773,67092037,62291164,34.4,162179803,475479410,126145154,4.1,1240133338,123162642,161474623,11029679,95.1,9573332,17049553,1052838401,9573332,75.9,29217429,,1077953535,5.2,106751454,310338384,40890453,21958675,13760668,1214178842,97.6,52717832,4.9,83.3,196051325,64132295,4420361,21128246,,78858067,21027932,14377993,163659445,157446388,13355941,9017186
2011,Działalność związana z obsługą rynku nieruchomości,499,20534205,1568125,1209391,1390570,1456663,130.9,419273,13185349,7847379,5.4,18925195,284493,2260387,1209782,92.9,355751,591296,17703407,355751,90.0,694496,1458700.0,18505922,5.0,7614191,5818011,168996,948495,111462,19075505,179.7,1100912,7.1,85.0,2842758,937295,26991,496309,-2037.0,128002,332025,660515,2224808,2310612,108479,503592
2012,Działalność związana z obsługą rynku nieruchomości,491,22181995,1801716,1470001,866086,1541687,147.3,470101,13421074,9314101,5.6,20356481,389985,2434962,893090,93.0,305811,724714,18804490,305811,87.4,641606,1542732.0,19886380,5.7,7818892,5307439,269105,885777,260029,20639263,205.2,1235876,7.0,84.5,3072732,1162006,36356,720074,-1045.0,135796,317090,939737,1959556,2519017,234125,569894
2013,Działalność związana z obsługą rynku nieruchomości,474,21382827,2008653,1670479,985062,1821384,138.1,213023,12521711,9155030,7.0,19421189,189326,2161712,697279,91.5,263618,675611,18115297,324815,88.5,743439,1817781.0,19208166,5.7,7360521,5329091,293847,1013143,187269,19565046,188.4,1496569,8.5,83.3,2681375,1116566,39809,584812,3603.0,65954,473936,948495,1810412,2271741,173910,669403
2014,Działalność związana z obsługą rynku nieruchomości,477,21236156,1825622,1599161,970782,1325651,149.2,371595,12802938,9025361,5.3,19794319,337047,1901978,665098,93.7,134396,535735,18278749,203311,89.7,815477,1332388.0,19422724,6.0,8026582,5379578,189846,769185,499971,19903768,192.8,1122340,6.2,85.3,2342641,1178523,56986,752237,-6737.0,71349,364545,672652,1772925,2230602,476821,660790
2015,Działalność związana z obsługą rynku nieruchomości,478,21347407,1815381,1517609,669037,1722789,142.3,358606,13895836,6705956,6.7,20065528,261855,2883008,715052,92.0,229487,508337,18514155,299488,89.1,1148590,1716365.0,19706922,6.4,7646586,5372897,194500,827628,92592,19631042,206.7,1423301,8.1,85.6,3461415,1289518,65645,346695,6424.0,58378,365662,454251,2123764,2335753,94308,664071
2016,Działalność związana z obsługą rynku nieruchomości,482,21081430,1632959,1360659,794808,1004384,125.3,298184,15003942,5798456,3.3,19826831,191301,3069522,843748,95.2,265704,856906,18697569,310085,88.9,1091219,,19528647,4.7,8344635,6660323,307615,886876,628575,20077046,179.2,694299,4.8,83.6,3587357,937961,81763,331270,,56388,772587,367723,2311330,2641207,666360,760620
2017,Działalność związana z obsługą rynku nieruchomości,472,23755594,2610106,2300232,1480995,2360271,112.1,467107,17064399,8331594,8.5,21379820,296911,3132531,993416,90.1,298747,604173,20005849,340163,88.7,1505239,,20912713,5.0,9229928,8236720,468607,820880,249835,21395323,158.9,2020108,9.9,82.2,3856242,1077060,94331,488390,,58470,403731,1554894,3037480,2780909,280124,940749
2018,Działalność związana z obsługą rynku nieruchomości,476,23828214,2268052,1918480,1606787,1855590,122.0,346345,19913530,11397559,6.3,21739892,272418,5456727,1172827,92.2,344370,619510,20392252,363414,89.8,1558888,,21393547,4.9,9587047,7856670,494130,997698,412462,21972624,198.1,1492176,7.8,84.5,5980031,1075222,85394,688444,,59800,408940,1090624,3312398,2807688,426304,1034054
2019,Działalność związana z obsługą rynku nieruchomości,464,23911813,1995834,1715705,1796234,1674832,103.0,312069,22523749,12115498,5.8,22175958,246278,5771559,1097625,93.0,256419,560160,20948535,286322,89.3,2955543,,21863889,4.4,9890914,9599563,405185,827393,321002,22236981,171.0,1388510,7.0,82.5,6523792,981145,76179,482008,,430479,409153,908462,4957373,2988409,327195,1151670
